dataset,LE,LE_SS,LE_MM,GD,GD_SS,GD_MM
Fridge,0.9,0.94,0.92,0.92,0.93,0.86
GarageDoor,0.91,0.91,0.83,0.92,0.92,0.9
LinuxProcess,0,0.75,0.36,0,0.62,0.38
