dataset,LE,LE_SS,LE_MM,GD,GD_SS,GD_MM
Fridge,0.92,0.96,0.95,0.94,0.96,0.91
GarageDoor,0.94,0.95,0.88,0.95,0.95,0.93
LinuxProcess,0.5,0.85,0.62,0.5,0.76,0.62
