dataset,LE,LE_SS,LE_MM,GD,GD_SS,GD_MM
Fridge,0.92,0.9,0.85,0.88,0.9,0.86
GarageDoor,0.86,0.91,0.88,0.89,0.9,0.86
LinuxProcess,0,0.68,0.52,0,0.69,0.51
