dataset,LE,LE_SS,LE_MM,GD,GD_SS,GD_MM
Fridge,0.94,0.93,0.89,0.92,0.92,0.91
GarageDoor,0.91,0.94,0.91,0.92,0.93,0.89
LinuxProcess,0.5,0.8,0.69,0.5,0.81,0.69
