dataset,LE,LE_SS,LE_MM,GD,GD_SS,GD_MM
Fridge,0.95,0.94,0.91,0.93,0.94,0.92
GarageDoor,0.92,0.95,0.93,0.93,0.94,0.92
LinuxProcess,0.47,0.82,0.73,0.47,0.83,0.73
