dataset,LE,LE_SS,LE_MM,GD,GD_SS,GD_MM
Fridge,0.98,0.97,0.96,0.97,0.97,0.96
GarageDoor,0.96,0.98,0.97,0.97,0.97,0.96
LinuxProcess,0.88,0.93,0.91,0.88,0.93,0.91
