dataset,LE,LE_SS,LE_MM,GD,GD_SS,GD_MM
Fridge,0.98,0.97,0.96,0.97,0.97,0.96
GarageDoor,0.82,0.93,0.9,0.82,0.93,0.9
LinuxProcess,0.82,0.93,0.9,0.82,0.93,0.9
